,퀘스트지상주의,장씨세가 호위무사,호랑신랑뎐,소녀의 세계,백수세끼,신화급 귀속 아이템을 손에 넣었다,앵무살수,팔이피플,버림받은 왕녀의 은밀한 침실,잔불의 기사,불청객,절대검감,똑 닮은 딸,리턴 투 플레이어,"아, 쫌 참으세요 영주님!",히어로메이커,메리의 불타는 행복회로,꼬리잡기,물어보는 사이,이별 후 사내 결혼,더블클릭,순정말고 순종,결혼생활 그림일기,아슈타르테,황제와의 하룻밤,북부 공작님을 유혹하겠습니다,신군,파운더,꿈의 기업,오빠집이 비어서,미니어처 생활백서,우산 없는 애,제왕: 빛과 그림자,다시쓰는 연애사,굿바이 유교보이,오늘의 비너스,칼가는 소녀,하루의 하루,세번째 로망스,"또다시, 계약 부부",레지나레나 - 용서받지 못한 그대에게,버그이터,원작은 완결난 지 한참 됐습니다만,찌질하지만 로맨스는 하고 싶어,사랑의 헌옷수거함,말박왕,루크 비셸 따라잡기,아마도,최후의 금빛아이,모스크바의 여명,백호랑,경비실에서 안내방송 드립니다,입술이 예쁜 남자,달로 만든 아이,싸이코 리벤지,그림자 신부,파견체,왕따협상,매지컬 급식:암살법사,나만의 고막남친,모락모락 왕세자님,지옥연애환담,모노마니아,악녀 18세 공략기,흔들리는 세계로부터,역주행!,디나운스,사막에 핀 달,결혼공략,헬로맨스,슈퍼스타 천대리,오로지 오로라,남주서치,기사님을 지켜줘,별을 쫓는 소년들,김부장,여신강림,대학원 탈출일지,마루는 강쥐,1을 줄게,내가 키운 S급들,멸망 이후의 세계,시체기사 군터,용사가 돌아왔다,중증외상센터 : 골든 아워,삼국지톡,악몽의 형상,랜덤채팅의 그녀!,집이 없어,천마는 평범하게 살 수 없다,하북팽가 막내아들,초인의 게임,호랑이 들어와요,원주민 공포만화,여우자매,에이머,왕게임,윌유메리미,덴큐,올가미
퀘스트지상주의,0.0,7721.924209079742,6623.070658669547,2124.303388200685,5889.315473551731,1354.3965253770946,27164.6564862624,20726.376018645235,11409.708639374992,7855.526802584172,4350.655243902588,14487.839064431662,20455.42918609328,8711.347544755748,3412.42119253677,3598.127122448188,11564.322293410376,4287.835039975659,19224.12179266693,2692.660737316148,18453.39254943472,3094.7918114990425,15731.054348793155,16781.83237696576,6166.21519875221,18677.344412972467,20599.02740419317,7200.471631595839,19595.602484212344,9028.712310760462,915.3001079794324,4918.892143980328,6446.896831835259,7431.515207087839,7321.35596500149,9948.081272417328,11202.735994513543,5654.828907766277,18529.27521309071,15970.396436871128,8871.028678624272,15604.088595900064,7526.677715443653,13542.929668467585,4771.5872208872215,1446.0148715163534,13674.138777579576,13428.121168587964,12278.471427455985,3463.4303863391297,14376.727595062795,7995.603011018566,2876.1842186226127,19424.814782261124,5299.958235712743,2278.80539154232,11517.390625870768,8445.4786134207,6950.510093159698,13574.96566052843,15046.20152290641,3920.776392577809,2690.8578465254004,16983.885517133564,10891.317762206878,11022.409629816522,3778.631862913008,4762.294679881017,13805.821103653536,19121.70938805154,1586.2199868111884,10455.842836032429,10298.911350153165,10445.446350371676,10549.814388372695,8266.60949830018,17799.6888492611,16925.58074633692,14301.749677260384,1484.7846300914562,8203.882457671614,32362.54963419686,17475.518809177873,6298.828435026633,2663.617488089173,3246.621286184782,9094.460119652944,5481.983577658728,15725.439343408769,2591.9996624593355,1640.564325653453,4854.733066409067,8122.174284691749,12931.217342128231,4564.786583792436,5151.138873440401,15020.303357858344,7986.834595640106,6209.0805185919335,13936.061698382591
장씨세가 호위무사,7721.924209079742,0.0,1115.0168932729664,5744.91857584704,1834.087539625217,9074.09392290673,19651.914862065176,13026.927274165244,3713.313842258139,958.4112219367224,3763.836771421717,6782.459799773704,12738.750167655076,1343.9801718742176,4344.976766786169,4276.5485826639215,3872.322768262973,3686.587452831288,11504.02008844514,5102.81551996891,10745.35342432809,4777.969398531431,8022.020468797709,9110.016465787863,1635.2334754008534,10964.434192777397,12941.371858091414,909.9363616948872,11876.935493199411,1425.913773012468,7010.125667900336,2852.592150139687,1296.0888661440165,1387.405756778769,1524.2847982144226,2229.704878886905,18921.81849166848,2083.736262603557,10908.177570402411,8300.508422369918,1335.7711436429547,8133.096539483399,374.3658925637208,5822.562991233071,3082.8908724402395,8830.44577514157,5981.64805084071,5780.376975038551,4683.900696969216,4272.009024525959,6776.694686710331,15692.620819785165,10576.58621504892,11741.528272328169,2523.6518821810496,9257.97647342972,3967.005432207718,752.4236340247771,14655.390514265437,5923.754658435594,7376.275226194365,3958.3908906039887,5038.192514919841,9291.773274583453,3178.208926501284,3419.8717717058166,3956.8766115219287,2971.4830380365565,6211.131927142127,11435.12734957234,9172.793853738243,2755.0704035595263,2877.1400637320544,2746.628983069368,2870.2576975013026,557.0396047876478,10103.498589700286,9205.66467954597,6596.79101078627,6354.140068034071,872.1114411898641,24671.315020173104,9788.250161695429,1438.7197597507754,5075.103566749021,10847.406320917256,16767.414861127356,13121.331981175688,8022.889931798633,5201.116738900526,6603.968711859327,2898.8072372304937,502.9589467997992,5294.401289471286,3346.696577517644,12827.205441058104,7329.52331068776,15669.876360850216,2964.712023868993,6236.519151518118
호랑신랑뎐,6623.070658669547,1115.0168932729664,0.0,4631.064034983005,740.1399852650482,7976.749742501605,20669.40692608449,14108.93566881296,4789.750638648676,1411.6902899550437,2673.967431866796,7866.814065606114,13832.392461136613,2184.643266708782,3273.555783217117,3161.93016075255,4945.862924256348,2582.0689841023864,12601.521168762863,3990.208860320957,11832.24542572292,3733.849769351308,9109.235697491958,10176.760204941536,545.2141457507001,12054.846253836413,14003.9058939528,769.1345800536113,12972.60561590664,2427.353011075408,5899.298062065501,1737.6530809742055,426.409463747105,1342.27303634111,1369.9473607203315,3326.4624674361385,17825.64514929521,971.66862001864,11954.887577229434,9365.772898560674,2397.426155790984,9120.44010589176,910.1667225305632,6921.002474145384,1972.351231261214,7716.735364802618,7057.329251710242,6831.9453221615495,5707.095428411437,3165.217319942672,7808.904718858582,14605.226348480435,9470.36448663759,12814.947085673355,1414.5157121763489,8144.059317090206,4965.542068678292,1822.420116842369,13565.25106971416,6977.269033358152,8440.795484758135,2844.703336025643,3948.628333387598,10368.857759792472,4291.246574400001,4440.57199928289,2877.604177451431,1863.303529315378,7239.634916937745,12510.059644263793,8061.995175288353,3833.960664930743,3800.894278744581,3823.9370116902624,3933.708340135674,1671.3729245389927,11183.086074433462,10303.014986859738,7680.799400827688,5242.949804482546,1651.5874689142518,25750.46870026935,10862.95586929517,489.4486411454905,3968.7209178324233,9734.755779982774,15686.769300647557,12044.730337744008,9105.696511617054,4088.8720569745633,5559.19889479299,1850.5005046598208,1501.6890025840944,6406.815849897114,2239.856091967815,11743.387227716332,8405.003651159526,14586.25456312044,2233.0767300643843,7350.627291907748
소녀의 세계,2124.303388200685,5744.91857584704,4631.064034983005,0.0,3919.806008710026,3451.1455926190065,25057.68392870928,18681.478903554296,9382.411862006258,5788.162565305301,2228.313617828633,12457.21988699709,18430.80584982647,6648.218601878574,1723.3776326416416,1502.2178788935084,9533.59953546768,2179.379221647356,17208.766982000816,648.779145405156,16418.890371311085,1727.3129750656851,13701.566856537587,14725.169666421973,4139.480992830115,16648.442650215507,18530.86737094767,5148.585203995805,17575.92677135571,6991.709720433412,1288.6168276443775,2895.185122086413,4514.242378015364,5336.724959767763,5220.200562880509,7948.395938512452,13254.685809543167,3661.304296058555,16451.1878212592,13914.371961022884,6966.708729478518,13503.018313172282,5515.319958840398,11536.083569265858,2703.868881892259,3085.676316239156,11635.881721081843,11369.979541766725,10209.937026908136,1506.1542570458162,12301.517026237432,10083.704843996911,4869.654528825635,17370.318649926485,3252.323303317826,3564.368579945279,9443.878974981695,6442.571469194173,9034.085169282744,11517.56252009112,12992.237130940804,1829.1962469038024,1064.6527426467223,14938.22858688492,8922.310421813248,8963.249958789547,1972.047756119623,2780.1226571208194,11731.109152801462,17069.52810723677,3440.497288152014,8436.61579355431,8216.274801475703,8425.02529932077,8518.591755798458,6299.3355813776825,15755.654245470574,14912.02548445808,12271.17983392446,643.4304813230228,6154.061378487407,30304.78910657273,15426.004299118567,4365.405013148016,766.5550756151197,5105.1106618727335,11194.68526096699,7599.609172481925,13689.788207466025,556.386473515274,1949.57609123209,3001.015450471108,6110.479872562959,11020.730824668808,2475.43920377316,7258.944454628035,12977.525323895132,10084.068564460522,4088.781984261658,11981.425665939449
백수세끼,5889.315473551731,1834.087539625217,740.1399852650482,3919.806008710026,0.0,7242.265698768296,21405.82776728013,14847.154992835058,5528.011406771635,2106.0677655681,2084.895201478034,8604.205027616854,14567.4781227407,2911.505228181496,2533.5424903251023,2476.242353688645,5684.565468240063,1952.2532682083672,13334.95344296142,3274.684938811988,12569.322501638462,2998.2804796695154,9846.066978087214,10916.60657556927,465.4782580457161,12790.957250447718,14743.99192375551,1433.794395897329,13706.862500241614,3167.1933013538824,5178.350958635846,1051.01853530579,619.729321908214,1901.7821152440888,1876.7367996965525,4058.8505187842966,17090.90787363836,287.597131294064,12694.768121408884,10105.674263132903,3056.8593094698026,9853.304263654334,1650.3031138995177,7653.640558007333,1331.313811170152,7003.29136108969,7796.124755172878,7572.083076187947,6446.063939540352,2438.4512081387,8548.139753960037,13867.382700850276,8742.514650234622,13554.342537855133,811.8769843018259,7454.644396795472,5702.4465825172565,2558.248203532212,12828.141046944767,7717.408078756556,9180.699658429594,2169.7209921389053,3210.462865548913,11107.720542309078,5010.636439142834,5179.844849658137,2137.508383936984,1140.334093808825,7978.664355826041,13249.281210354686,7340.644837298311,4571.440876464578,4528.873247802554,4561.675950763922,4673.107466246834,2383.9539637468856,11921.615058458145,11036.422423550915,8418.244509420501,4522.9510068583095,2381.096419745557,26489.34367496,11602.1434830697,480.3986119659787,3241.245578646281,9017.418527247131,14947.622195208272,11305.021571973772,9843.522617631836,3372.151752914589,4821.946036563628,1120.852437252107,2240.968851463531,7101.858929593708,1608.8757704744864,11004.67312155342,9143.954766534063,13847.584139688575,2185.2464873380013,8066.20163490901
신화급 귀속 아이템을 손에 넣었다,1354.3965253770946,9074.09392290673,7976.749742501605,3451.1455926190065,7242.265698768296,0.0,28507.208808597217,22080.770696472264,12763.95286073886,9207.861318933912,5678.3563528464265,15842.047887799998,21809.13027481501,10064.349591316222,4752.793019360302,4940.994108693915,12918.641076504357,5627.132276133748,20577.21633059256,4039.744439385019,19807.61887598769,4405.084374121728,17085.177808369976,18135.934673882435,7520.546441749935,20031.3412511111,21952.407120067564,8554.050723133054,20949.00761623608,10383.086421401702,2178.6984957710847,6272.989056707584,7796.228045599023,8778.055233971283,8665.540383409789,11301.11439413677,9848.897419758025,7008.9513000781935,19881.27720121229,17324.50675051438,10213.174294457138,16949.415063028904,8880.83834058666,14895.847882190134,6122.148416644371,1116.3227757498298,15028.522875186332,14782.017862873696,13631.386347638923,4817.820970150867,15728.945516021276,6643.28072943481,1574.7497824366508,20779.058129462308,6653.073959092624,1918.1348780705007,12869.587175975576,9799.09284234997,5597.106819422938,14928.913793047142,16400.374753090124,5265.466986903908,4038.667356277253,18338.27720054861,12241.055337614798,12376.06943582492,5125.510994225523,6116.511771026414,15158.068829104868,20476.018286697006,785.7879068321746,11809.886737032522,11649.341609448144,11799.537059661903,11904.175041343546,9617.577091358382,19154.085069354514,18278.68749752851,15655.96361176414,2807.7421484680704,9557.784224343432,33716.786689552544,18829.867967383216,7648.458395685277,4017.641021828381,2057.962100121354,7746.646023319297,4151.923527420559,17079.751935580833,3938.904341137752,2759.427610620144,6199.9210827044335,9476.244421836833,14270.560031289477,5911.012852126237,3807.8661502493424,16374.699723375708,6637.470589579902,7510.919033001347,15282.573864835313
앵무살수,27164.6564862624,19651.914862065176,20669.40692608449,25057.68392870928,21405.82776728013,28507.208808597217,0.0,7214.480424353062,15978.571128410436,19340.8724057944,22835.89258905336,13034.463248649565,7796.662143390125,18501.5406226145,23932.567219051634,23567.16774638248,15815.78988907276,22880.08116082795,8950.266848750782,24472.09549001693,9351.39843722989,24403.246996000107,11881.722490185592,10663.65718281126,21060.34346897877,9225.935326500185,6943.82809627479,20010.876859371045,8577.919272588337,18248.70378227206,26341.000736690377,22283.260481304293,20940.616274128268,19734.880634327936,19843.31783626285,17477.90472770901,38262.74347665925,21598.59500274421,8793.411515092454,11443.84429446514,18799.932897386727,11564.632233130393,19763.796009617006,14073.12735313304,22400.39285919971,28026.85068305266,13757.606445290665,13887.82722904596,14969.349247100448,23735.78708067734,12876.38019512106,35137.87253715448,29890.590194472697,8215.816725470435,21889.51007150866,28206.13997400577,15703.87556518146,18899.590367501693,34086.82250277823,13748.651416315744,12345.489393109983,23243.90529273725,24571.352319418056,10572.361402988785,16719.68054350949,16235.839165022508,23531.324500566665,22470.63776560685,13440.822377612343,8523.094728450236,28440.30342777221,16924.13755944839,16890.062649519965,16929.769126439183,16790.774550342612,19163.153228971645,9832.116526838809,10947.723786453427,13210.021883889003,25700.588265901213,19027.15080977623,6296.6724121275765,10075.49413567461,21077.149586536565,24517.850686183014,30019.804240282665,36252.34298105557,32644.67858103593,11836.16627165726,24572.70474425651,26227.74747201842,22519.204957674785,19188.642367054064,15245.180191910413,22600.17120960214,32314.39562584061,12446.686470117244,35141.46418840318,21074.775870180787,14081.32772256823
팔이피플,20726.376018645235,13026.927274165244,14108.93566881296,18681.478903554296,14847.154992835058,22080.770696472264,7214.480424353062,0.0,9319.21066286913,12894.710468952748,16519.207525160764,6244.469722905041,700.7295764062509,12034.160731845708,17371.686674400098,17180.26471225452,9163.26408491695,16519.12582846244,1736.7526875907108,18059.46320887132,2291.140976627005,17798.39682238069,5007.365796270013,3968.557833400174,14560.851829377898,2100.3551778906544,871.1289673115366,13534.541321428438,1364.0808181311943,11698.15967601538,19967.69387887063,15809.573803505917,14320.253467142602,13376.353840167674,13508.294555722994,10798.62162477529,31926.801328162343,15073.21229913476,2523.1174513856995,4774.539721189951,12012.130166461186,5574.759472971174,13201.735702870265,7227.020966996481,15978.209071751256,21742.759155342887,7052.393226717305,7315.635109109469,8486.975193816827,17263.001817210014,6436.459223503289,28714.132844691616,23550.211931886857,1346.8485516762676,15435.470771167791,22048.740707181445,9258.60361791514,12289.578143084627,27673.49985498938,7167.5835395881,5691.882846346122,16853.26030146304,18057.46390028193,3743.435700253585,9920.040913142211,9719.769188397491,16981.5685699217,15964.947931498018,6996.387391009542,1626.9383566072786,22119.6910032359,10275.89519848976,10497.914533219584,10285.519685970969,10176.951794043627,12498.438929678196,2926.7512533531194,3887.7247319832986,6430.148797599869,19312.85995405823,12528.965871041615,11644.864598973636,3256.8612043237417,14464.768957134893,18064.18274061333,23764.94248469649,29793.679193464595,26148.244900625723,5004.127967045475,18159.942363704184,19619.52801941996,15925.227468395473,12607.436065769956,8197.621819469172,16208.53567830376,25851.710341608174,5706.206152773279,28694.6287090894,14933.506164330964,7048.890665602258
버림받은 왕녀의 은밀한 침실,11409.708639374992,3713.313842258139,4789.750638648676,9382.411862006258,5528.011406771635,12763.95286073886,15978.571128410436,9319.21066286913,0.0,3625.527162853562,7263.448330991246,3078.194726004278,9049.548991252825,2774.230659594659,8054.924558828089,7886.102106575321,163.16231585332108,7240.94953136645,7826.621996177294,8753.092636528438,7043.688646081819,8491.062135601738,4321.87853487685,5397.165451437054,5248.275471470237,7268.90317935731,9229.13547749388,4237.313261208042,8193.561889449777,2391.4732786216227,10664.25370051696,6497.597222436528,5009.1694365218045,4162.220899858483,4310.527823564164,1500.779938004731,22612.09940980816,5755.119358619161,7208.076778232745,4588.356576044091,2849.0581928491533,4572.548440752307,3883.246177801893,2172.6408863671923,6679.906206076324,12458.782374772583,2268.8800470269903,2091.7778236442737,1161.5564221627326,7947.209704347461,3119.3549413357864,19394.97692032325,14244.63280262748,8028.740281714345,6130.357043253234,12816.74241679769,879.0469164688378,2971.220842051214,18354.77027015919,2229.944824919945,3664.997557784707,7560.000345637473,8738.254739209127,5580.213179783925,956.3415125672324,688.9561322047839,7663.300943139927,6647.441288981168,2573.822508373496,7722.793644553234,12822.854361204763,958.257992559796,1531.3787273654768,967.0528485280024,864.5089223748297,3198.2744407629734,6393.633976042779,5531.079003608178,2892.0900725677766,10008.080529190502,3235.298993250339,20961.595711764057,6075.702114186196,5151.985630093987,8749.559345048723,14482.024009044935,20475.27842313132,16831.237578112807,4316.107841074411,8853.162026606717,10316.503933770586,6611.581103469897,3288.403207102907,2289.547984633648,6919.999037809952,16532.675607839734,3616.948241724559,19375.590175004418,5866.811521981939,2807.7994669946547
잔불의 기사,7855.526802584172,958.4112219367224,1411.6902899550437,5788.162565305301,2106.0677655681,9207.861318933912,19340.8724057944,12894.710468952748,3625.527162853562,0.0,3639.301903883345,6683.17878689641,12654.711012899072,860.6207198066261,4599.135207142362,4286.231733194728,3770.136688817094,3625.977798817085,11441.690076768797,5172.235298287284,10637.462007898828,5088.04412936309,7926.406267509911,8937.008546542043,1723.261391567385,10870.557438991927,12745.97657659529,675.4125676139504,11804.5139078926,1256.9658664184196,7075.717056350999,2945.147790507809,1788.0580370260427,609.9877426855535,774.5938817892229,2298.3508022661845,19040.923515662023,2267.7565387891927,10673.77180988257,8126.223995988565,1981.9385659833288,7777.882469521684,697.5769136805634,5796.874447285677,3087.897530184462,8849.97599539231,5856.573470450946,5581.827849815066,4424.138319597812,4401.886591021755,6521.2022950807,15850.958255497364,10657.799871551537,11582.16169282655,2556.557816628492,9191.866780384731,3661.867004281687,981.6731225627228,14804.848586268668,5729.439448335673,7204.338100967136,3959.186078006551,5230.885596820673,9152.044470492454,3328.6192957134235,3175.2805741656907,4196.175293963998,3129.9766353032114,5950.29901447424,11281.517777047531,9225.043428191088,2709.418061327128,2451.145137337521,2695.125215312201,2763.417353022654,1173.7244046823334,9969.812750824269,9150.60156038604,6497.571818560806,6422.345836194704,426.1507815493366,24517.10214761249,9638.581381919348,1888.932611760228,5193.836467012098,10873.035668425213,16947.928928828125,13319.658890225455,7909.756699127821,5273.008285047681,6901.123152682135,3225.155837345666,717.8863796631648,5523.499401617881,3313.9271526690336,13002.71221890235,7193.613665879507,15841.65871627094,2388.5141063769165,6343.069665579742
